isin,ticker,gvkeyiid,ls_weight,country,figi,bbg_ticker,exch,mtd_local,mtd_usd,contrib_local,contrib_usd,missing_px
GB0031348658,BARC,01267301W,0.0006275451600173,GBR,BBG000C04CZ6,,LN,-0.042887345212926475,-0.049392026059213445,-2.691374591436313e-05,-3.0995726896907755e-05,False
IT0003128367,ENEL,20179401W,0.0004880850868863,ITA,BBG000BK4338,,IM,-0.055514276616070446,-0.06218168594292239,-2.7095690525584836e-05,-3.0349953586187895e-05,False
US58733R1023,MELI,17808101,0.0006020531905788,URY,BBG000GQPB11,,US,-0.04983472781737419,-0.04983472781737419,-3.000315688407621e-05,-3.000315688407621e-05,False
ES0177542018,IAG,01314501W,0.0005639439874096,GBR,BBG000C04FX1,,LN,-0.045641259698767644,-0.05212654945877471,-2.5739113984920104e-05,-2.9396454151685132e-05,False
DE000A1ML7J1,VNA,31568201W,0.0003512275838183,DEU,BBG000BT0ZM1,,GR,-0.07614345114345111,-0.08266479830308193,-2.6743680368701104e-05,-2.903415737481857e-05,False
US0865161014,BBY,00218401,-0.0001886983349477,USA,BBG000BCWCG1,,US,0.15346225826575166,0.15346225826575166,-2.895807261206125e-05,-2.895807261206125e-05,False
ES0167050915,ACS,22218601W,0.0003138431255818,ESP,BBG000BMW3R7,,SM,-0.08570029382957889,-0.0921540310786052,-2.6896448078753688e-05,-2.8921909148671795e-05,False
US8760301072,TPR,14054101,0.0007052711535741,USA,BBG000BY29C7,,US,-0.040549477267201595,-0.040549477267201595,-2.859837660906601e-05,-2.859837660906601e-05,False
SE0020050417,BOL,06489402W,0.000300175427672,SWE,BBG000C2VSX9,,SS,-0.07474318101310673,-0.09425889881954752,-2.243606632617502e-05,-2.829420526504945e-05,False
HK0016000132,16,01942101W,0.0004780411173232,HKG,BBG000BDZZY5,,HK,-0.05679862306368333,-0.057556354256048325,-2.7152077231782456e-05,-2.751430389761126e-05,False
US5951121038,MU,00734301,0.0008133001445826,USA,BBG000C5Z1S3,,US,-0.033565237345238086,-0.033565237345238086,-2.729861238583142e-05,-2.729861238583142e-05,False
AU000000WES1,WES,10160101W,0.0003622318391247,AUS,BBG000BFJYW3,,AU,-0.06976586102719029,-0.07469786674613854,-2.5271416147997368e-05,-2.7057945650145533e-05,False
US0231351067,AMZN,06476801,0.0005052071027227,USA,BBG000BVPV84,,US,-0.05316241290372248,-0.05316241290372248,-2.685802859683751e-05,-2.685802859683751e-05,False
DK0060252690,PNDORA,29552601W,0.0003891156200971,DNK,BBG000VGFVT3,,DC,-0.06069160197600565,-0.06743076775084533,-2.361605033757982e-05,-2.6238365006993714e-05,False
JP3381000003,5401,10015501W,-0.0005320311203669,JPN,BBG000BG9X54,,JP,0.01925948044192305,0.049222340892186356,-1.0246642957200718e-05,-2.6187817171951385e-05,False
CH0102484968,BAER,29285401W,0.0005647798657203,CHE,BBG000PJ8DQ5,,SW,-0.033501728263759634,-0.04636319662124688,-1.8921101590204145e-05,-2.6184999962111682e-05,False
US1220171060,BURL,01867501,0.0002334961686904,USA,BBG004S641N5,,US,-0.11183400061595317,-0.11183400061595317,-2.61128106731449e-05,-2.61128106731449e-05,False
DE000DTR0CK8,DTG,35159001W,0.0003481043590874,DEU,BBG012SQ7SX1,,GR,-0.06824034334763951,-0.07481728161444612,-2.3754760984934172e-05,-2.6044221865058284e-05,False
JP3256000005,4151,10051601W,0.0001956621018984,JPN,BBG000BG3926,,JP,-0.1558219178082192,-0.13100622678929053,-3.048844396019589e-05,-2.5632953695371063e-05,False
SE0000113250,SKA B,10098002W,0.0006427550767147,SWE,BBG000BCD988,,SS,-0.01872246696035229,-0.0394196870076009,-1.2033960687389672e-05,-2.533720394663998e-05,False
US89400J1079,TRU,02463801,0.0002072068801346,USA,BBG002Q7J5Z1,,US,-0.12071605229066074,-0.12071605229066074,-2.5013196577313044e-05,-2.5013196577313044e-05,False
US92537N1081,VRT,03617501,0.0003356727827948,USA,BBG00L2B8KW8,,US,-0.07439316635745208,-0.07439316635745208,-2.497176117212243e-05,-2.497176117212243e-05,False
US6516391066,NEM,00788101,0.0007758312837737,USA,BBG000BPWXK1,,US,-0.03218546723782323,-0.03218546723782323,-2.497049236597676e-05,-2.497049236597676e-05,False
FR0000131906,RNO,21047901W,0.0004359001536124,FRA,BBG000BKD7J2,,FP,-0.04878869448183043,-0.05550296995978654,-2.1266999419178336e-05,-2.4193753131415376e-05,False
US5398301094,LMT,00677401,0.0006590137826985,USA,BBG000C1BW00,,US,-0.03666233095165983,-0.03666233095165983,-2.4160981402997642e-05,-2.4160981402997642e-05,False
JP3914400001,6981,10022601W,-0.0002592035733197,JPN,BBG000BM4K18,,JP,0.061465721040189214,0.09266924280463007,-1.5932134530288913e-05,-2.402019887179101e-05,False
GB00B2QPKJ12,FRES,28879901W,0.0004010199691396,MEX,BBG000VJ1X09,,MM,-0.051490514905149,-0.059805573050577876,-2.0648724698244966e-05,-2.3983229059118834e-05,False
US81141R1005,SE,03254690,0.0002693879074664,SGP,BBG00HTBWMG5,,US,-0.08794501233697571,-0.08794501233697571,-2.3691322845564617e-05,-2.3691322845564617e-05,False
FR0000120578,SAN,10120401W,0.0006078591257355,FRA,BBG000BWBBF3,,FP,-0.032027079807316894,-0.03885972212540645,-1.9467952731536735e-05,-2.362123671747403e-05,False
CA5592224011,MG,00694601C,0.0009214791816058,CAN,BBG000CZX2P0,,CN,-0.019874821565828316,-0.025499691281318793,-1.831423431104078e-05,-2.3497434653110195e-05,False
JP3463000004,4502,10071801W,-0.0005314895657318,JPN,BBG000BJPPH4,,JP,0.014223764093668656,0.044038438421137416,-7.5597822012155234e-06,-2.340597051195694e-05,False
GB00B0744B38,BNZL,10009501W,0.000309595574914,GBR,BBG000BD7MQ4,,LN,-0.06876790830945556,-0.07509663900008723,-2.1290240108699133e-05,-2.324958712534112e-05,False
US4612021034,INTU,02792801,0.0001995321298357,USA,BBG000BH5DV1,,US,-0.11458391316448657,-0.11458391316448657,-2.286317223861891e-05,-2.286317223861891e-05,False
DE000ENER6Y0,ENR,34015301W,0.0004465072060045,DEU,BBG00XLWSW57,,GR,-0.04413619167717531,-0.05088334376827641,-1.9707127629454612e-05,-2.2719779658139587e-05,False
US45841N1072,IBKR,17670101,0.0002071519571083,USA,BBG000LV0836,,US,-0.10757529036899993,-0.10757529036899993,-2.2284431936431994e-05,-2.2284431936431994e-05,False
AU000000QAN2,QAN,22024401W,0.000425484546798,AUS,BBG000BLCWX0,,AU,-0.04698513800424631,-0.0520344299538229,-1.9991450149978225e-05,-2.2139845846794613e-05,False
US4456581077,JBHT,00578301,0.0002026707825445,USA,BBG000BMDBZ1,,US,-0.10826082043168728,-0.10826082043168728,-2.1941305195799655e-05,-2.1941305195799655e-05,False
HK0027032686,27,10711401W,0.0004075561692761,HKG,BBG000BG5KL8,,HK,-0.05270366671422455,-0.05345551822708128,-2.147970451285366e-05,-2.1786126235297986e-05,False
US2521311074,DXCM,16288701,0.0005316437713469,USA,BBG000QTF8K1,,US,-0.04085218537228197,-0.04085218537228197,-2.171880989908265e-05,-2.171880989908265e-05,False
US8725401090,TJX,01167201,0.0002589141095151,USA,BBG000BV8DN6,,US,-0.0826674632215667,-0.0826674632215667,-2.1403772625884225e-05,-2.1403772625884225e-05,False
JP3732000009,9434,22315002W,-0.0002621369651798,JPN,BBG00MJLWHH3,,JP,0.04934626739772252,0.08019719296355166,-1.2935480778589889e-05,-2.1022648779404243e-05,False
JP3118000003,7936,10084001W,0.000255037309747,JPN,BBG000BGSWW5,,JP,-0.10822222222222222,-0.08200704295321448,-2.760070441039756e-05,-2.0914855615094498e-05,False
DE0006070006,HOT,10005401W,0.0002452626761903,DEU,BBG000BC3V44,,GR,-0.07877041306436106,-0.0852730649052943,-1.931944231278056e-05,-2.0914300105621628e-05,False
US14040H1059,COF,03099001,0.0003924420894575,USA,BBG000BGKTF9,,US,-0.05277143256724626,-0.05277143256724626,-2.0709731260355686e-05,-2.0709731260355686e-05,False
