isin,ticker,gvkeyiid,ls_weight,country,figi,bbg_ticker,exch,mtd_local,mtd_usd,contrib_local,contrib_usd,missing_px
CNE000001HC5,600497 CH Equity,27036201W,0.0001109277856896,CHN,,,,-0.07163323782234954,-0.06980400713634793,-7.946116453409739e-06,-7.743203943896112e-06,False
CNE100002RP3,601212 CH Equity,32355301W,0.0001137595954085,CHN,,,,-0.06695778748180492,-0.0651187355737256,-7.617090813378454e-06,-7.407881012380121e-06,False
CNE0000011K8,000999 CH Equity,25135901W,0.0002925395482984,CHN,,,,-0.02693877551020407,-0.025022831551146818,-7.880657219467099e-06,-7.3201678391194415e-06,False
CNE000001M22,002050 CH Equity,27311401W,0.0001035769200346,CHN,,,,-0.07079889807162532,-0.06897081498510849,-7.3331318041025315e-06,-7.143784588433774e-06,False
CNE000001FJ4,600352 CH Equity,26027601W,7.943061141621441e-05,CHN,,,,-0.09105180533751966,-0.08926405282533256,-7.232300568509322e-06,-7.090298293405427e-06,False
CNE000001139,600219 CH Equity,26013801W,0.0003020645207227,CHN,,,,-0.024793388429752095,-0.0228648378498445,-7.489202993124801e-06,-6.906656286515529e-06,False
CNE000001KK2,002027 CH Equity,27088901W,0.000146707700097,CHN,,,,-0.04869215291750506,-0.046831695215433955,-7.143513767298596e-06,-6.8705702966999945e-06,False
CNE000001FM8,600489 CH Equity,27069701W,0.0005005287441474,CHN,,,,-0.015612802498048528,-0.013674451540146015,-7.81465642696962e-06,-6.8444560562937655e-06,False
CNE000001G38,600406 CH Equity,27051001W,0.0001703379053972,CHN,,,,-0.041358293426208115,-0.03946983525226988,-7.044885073023077e-06,-6.723209063244217e-06,False
CNE000001JN8,002007 CH Equity,27076001W,0.0002756287004225,CHN,,,,-0.025993883792048922,-0.024077137250470004,-7.16466040853593e-06,-6.636350050241212e-06,False
CNE100005RH3,688234 CH Equity,35188401W,0.0003303268080386,CHN,,,,-0.02150637743226891,-0.019580207850474762,-7.10413300967477e-06,-6.467867559979666e-06,False
CNE100001XR9,300395 CH Equity,31832001W,-0.0001899713606074,CHN,,,,0.03151832460732984,0.03354886371631616,-5.987579009720145e-06,-6.373323287020814e-06,False
CNE0000010T1,000938 CH Equity,26022301W,5.031654398567856e-05,CHN,,,,-0.12759948652118114,-0.12588281161050374,-6.42036517609301e-06,-6.3339880274408e-06,False
CNE100000XB5,002517 CH Equity,29586901W,0.0003310077437104,CHN,,,,-0.02096680256260941,-0.019038413374240726,-6.940174009070773e-06,-6.301862254833326e-06,False
CNE000000JP5,600887 CH Equity,26002901W,0.0004786965479747,CHN,,,,-0.015094339622641506,-0.013154425039047402,-7.2256082713162244e-06,-6.2969778567839495e-06,False
